dCoilTurns,dCoilOuter,dCoilInner,dShieldThickness,dShieldExtra,gCoilInterval,gCoilLength,gShieldThickness,gShieldExtra,mResRx,mResTx,mIndRx,mIndMutNormal,mIndTx,mIndMutMisaligned,eIndMutNormal,eIndMutMisaligned,eNormalK,eResEq,pDimension,pDimensionPenalty,pThickness,pThicknessPenalty,pNormalIndMutPenalty,pMisalignedIndMutPenalty,pNormalKPenalty,pResistancePenalty,目标函数
13,415,280,14,18,0.005625,0.14,0.014,0.018,0.01593987254,0.01593963794,182060.198904158,-31948.6816702465,182041.552845625,-13812.0034628692,31.9486816702465,13.8120034628692,0.17549315024496862,0.015939755239568396,0.45099999999999996,1.4899998798538956,0.0205,1.0949999999999804,-5.03973838497974e-44,1.38120034628692,1.0331106976971725,1.4267336052893684,-6.426044529127337
11,400,235,3,27,0.00825,0.1175,0.003,0.027,0.01235676773,0.01235657473,106849.971835183,-18648.674458382,106855.920375988,-7195.53478638578,18.648674458382,7.19553478638578,0.17452653525508785,0.01235667122962319,0.454,1.459999679984728,0.0095,1.205,1.160191910457414e-18,4.758010624556086e-13,1.0247406630353435,1.4307148097448632,-5.120455152765411
15,460,205,4.5,28,0.009107142857142857,0.1025,0.0045,0.028,0.01764962234,0.01764941099,179444.559127969,-40773.5146008904,179443.905596739,-17674.5163780482,40.7735146008904,17.6745163780482,0.22722109295005666,0.01764951666468364,0.516,0.004035992425213973,0.011,1.19,-1.3868619686727032e-207,1.76745163780482,1.1463239134076622,1.4248338703725738,-5.53264541401027
13,405,285,10.5,13,0.005,0.1425,0.0105,0.013,0.01581794704,0.01581839871,183677.005342696,-29457.416533831,183665.903678433,-12546.2652638853,29.457416533831,12.5462652638853,0.16038102723027647,0.015818172873387885,0.43100000000000005,1.6899999998265738,0.017,1.13,1.2778615304834415e-19,1.2546265263775593,0.8738169556839663,1.4268686968073467,-6.375312178695446
10,475,205,11,13,0.015,0.1025,0.011,0.013,0.01208883927,0.01208907338,77946.3166967305,-17974.8610338738,77951.64848984,-8144.18738377899,17.9748610338738,8.14418738377899,0.23059776338805724,0.01208895632443329,0.501,0.4132554956023084,0.017499999999999998,1.125,-5.666842805906519e-25,7.098326424362544e-9,1.1469391428161229,1.4310122707506296,-4.116206916267387
14,395,275,3.5,2,,,,,,,,,,,,,,,,,,,,,,,
11,430,265,15,22,0.00825,0.1325,0.015,0.022,0.01351541223,0.01351556518,122306.044105103,-23919.8845724056,122316.244450359,-10469.3437770813,23.9198845724056,10.4693437770813,0.19556586388306754,0.013515488704783639,0.474,1.2597830247276305,0.0215,1.0849999999994624,1.1997220584194863,1.0374364821168405,1.1250011293532838,1.4294272347724626,-7.136369929389166
15,470,280,9.5,30,0.0067857142857142855,0.14,0.0095,0.03,0.01985574214,0.01985563924,245201.013814536,-55719.3657942608,245220.760575935,-26462.0457034706,55.719365794260796,26.4620457034706,0.22723039126343972,0.019855690689933342,0.53,0.00003177850809170379,0.016,1.14,0,2.6462045703470602,1.1463257888091603,1.4223825659000742,-6.354944703564386
10,405,275,3,39,0.007222222222222222,0.1375,0.003,0.039,0.01201434692,0.01201461297,108303.863078893,-19182.2034915297,108306.001277889,-7935.24889102605,19.1822034915297,7.93524889102605,0.17711292649968066,0.01201447994426357,0.48300000000000004,1.16596648197717,0.0095,1.205,2.739492929248754e-14,8.559737003945678e-10,1.0463100055817938,1.4310950222841516,-4.848371510699117
10,395,295,21,2,0.005555555555555556,0.1475,0.021,0.002,0.01217482617,0.01217489025,109106.89167185,-16066.3780175067,109127.091704453,-7047.79273038522,16.0663780175067,7.04779273038522,0.14723992879356895,0.012174858209957841,0.399,2.009999999999995,0.0275,1.0247536804943604,-7.57012653446089e-44,1.0636037431417049e-13,0.712105653662039,1.4309168242111578,-5.177776158367658
14,470,230,7,22,0.00923076923076923,0.115,0.007,0.022,0.0173352548,0.01733515668,172032.867217046,-39526.3612638609,172007.297208823,-17895.5302100191,39.5263612638609,17.8955302100191,0.2297775984323886,0.017335205739930578,0.514,0.008011725036757318,0.0135,1.165,-2.737035062288655e-177,1.78955302100191,1.146801277889065,1.4251831047334105,-5.534549128661142
